time, act_r, act_thr, th_mo, th_bi
0.0001,0.353551,1.57081,0.785406,2.35622
0.0002,0.353547,1.57083,0.785418,2.35625
0.0003,0.353543,1.57086,0.78543,2.35629
0.0004,0.353537,1.57089,0.785441,2.35633
0.0005,0.35353,1.57092,0.785452,2.35638
0.0006,0.353522,1.57095,0.785463,2.35644
0.0007,0.353513,1.57099,0.785474,2.3565
0.0008,0.353503,1.57102,0.785484,2.35657
0.0009,0.353492,1.57107,0.785494,2.35664
0.001,0.35348,1.57111,0.785504,2.35672
0.0011,0.353467,1.57116,0.785514,2.3568
0.0012,0.353453,1.57121,0.785523,2.35689
0.0013,0.353438,1.57126,0.785532,2.35698
0.0014,0.353422,1.57131,0.785541,2.35708
0.0015,0.353405,1.57137,0.785549,2.35719
0.0016,0.353387,1.57143,0.785557,2.3573
0.0017,0.353368,1.57149,0.785565,2.35741
0.0018,0.353348,1.57155,0.785572,2.35753
0.0019,0.353327,1.57162,0.78558,2.35766
0.002,0.353305,1.57169,0.785586,2.35779
0.0021,0.353282,1.57176,0.785593,2.35792
0.0022,0.353259,1.57183,0.785599,2.35806
0.0023,0.353234,1.57191,0.785604,2.35821
0.0024,0.353208,1.57198,0.78561,2.35836
0.0025,0.353182,1.57206,0.785614,2.35851
0.0026,0.353154,1.57215,0.785619,2.35867
0.0027,0.353126,1.57223,0.785623,2.35884
0.0028,0.353096,1.57232,0.785627,2.35901
0.0029,0.353066,1.57241,0.78563,2.35918
0.003,0.353035,1.5725,0.785632,2.35936
0.0031,0.353003,1.57259,0.785635,2.35954
0.0032,0.35297,1.57268,0.785636,2.35973
0.0033,0.352936,1.57278,0.785638,2.35992
0.0034,0.352901,1.57288,0.785638,2.36012
0.0035,0.352866,1.57298,0.785638,2.36032
0.0036,0.352829,1.57308,0.785638,2.36053
0.0037,0.352792,1.57319,0.785637,2.36074
0.0038,0.352754,1.57329,0.785636,2.36095
0.0039,0.352715,1.5734,0.785633,2.36117
0.004,0.352675,1.57351,0.785631,2.36139
0.0041,0.352634,1.57362,0.785627,2.36162
0.0042,0.352593,1.57373,0.785623,2.36185
0.0043,0.352551,1.57385,0.785619,2.36208
0.0044,0.352508,1.57397,0.785613,2.36232
0.0045,0.352464,1.57408,0.785608,2.36256
0.0046,0.352419,1.5742,0.785601,2.3628
0.0047,0.352373,1.57432,0.785593,2.36305
0.0048,0.352327,1.57445,0.785585,2.36331
0.0049,0.35228,1.57457,0.785576,2.36356
